"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
20416,"GET_BMS_BAT_VOLT","GET_BMS_BAT_VOLT","-","int32",4,"0","0","80000",0,"PMU",1,0,"DEFAULT"
20415,"APP_CHG_CURR","APP_CHG_CURR","-","int32",4,"0","-2147483648","2147483647",0,"PMU",0,0,"DEFAULT"
20414,"APP_CHG_VOLT","APP_CHG_VLOT","-","int32",4,"0","-2147483648","2147483647",0,"PMU",1,0,"DEFAULT"
20413,"APP_CHG_SWITCH","APP_CHG_SWITCH","-","uint8",1,"0","0","255",0,"PMU",1,0,"DEFAULT"
20412,"ADC_EVALUATION_SAMPLE_LEN","ADC_evaluation_sample_len","-","uint32",4,"32768","0","4294967295",0,"BP",1,0,"DEFAULT"
20411,"ADC_EVALUATION_VAL","ADC_evaluation_val","-","uint16",2,"0","0","65535",0,"BP",1,0,"DEFAULT"
20410,"ADC_EVALUATION_MODE","ADC_evaluation_mode","-","uint8",1,"0","0","3",0,"BP",1,0,"DEFAULT"
20409,"MC_EP_WARN_CODE","MC_EP_WARN_CODE","-","uint32",4,"0","0","4294967295",0,"MC",0,0,"DEFAULT"
20408,"REGEN_RES_TIME","OperatingRegenerative resistance 's time","ms","uint16",2,"0","0","65535",0,"MC",1,0,"DEFAULT"
20407,"BMS_TEMPRAW_PRE_0P1C3","BMS CELL TEMP","0.1C","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20406,"FOC_PWM_FREQ","FOC_PWM_FREQ","-","uint16",2,"1500","0","65535",0,"MC",1,0,"DEFAULT"
20405,"BMS_ASOC","get BMS calculate Asoc(Dod)","%","uint8",1,"0","0","100",0,"BMS",0,0,"DEFAULT"
20404,"DeadTime_FED","DeadTime falling time edge","ns","uint16",2,"800","0","65535",0,"MC",1,0,"DEFAULT"
20403,"DeadTime_RED","Dead Time rising  edge delay","ns","uint16",2,"800","0","65535",0,"MC",1,0,"DEFAULT"
20402,"REGEN_RES_KEY","CONTORL REGENERATIVE RESISTANCE","-","uint8",1,"0","0","255",0,"MC",1,0,"DEFAULT"
20401,"INIT_PROT_LP","LP_CURRENT_POROTECT","-","uint16",2,"100","0","65535",0,"MC",1,0,"DEFAULT"
20400,"FITNESS_WORKOUT_STATE","Workout state, inuse, unuse...","-","uint8",1,"0","0","255",0,"BP",1,0,"DEFAULT"
20399,"BMS_CELL_INFO_SEL","Select cell information, such as SOC-OCV,","1~4","uint8",1,"0","0","255",0,"BMS",1,0,"DEFAULT"
20398,"MA732_BCT","ma732_BCT_val","-","uint8",1,"174","0","255",0,"MC",1,0,"DEFAULT"
20397,"T_PWM_C","PWM_C_CNT","-","uint16",2,"0","0","65535",0,"MC",1,0,"DEFAULT"
20396,"T_PWM_B","PWM_B_CNT","-","uint16",2,"0","0","65535",0,"MC",1,0,"DEFAULT"
20395,"T_PWM_A","PWM_A_CNT","-","uint16",2,"0","0","65535",0,"MC",1,0,"DEFAULT"
